timestamp,zone_id,temp_c,date,hour,weekday,month,is_outlier,temp_c_clean,roll24_mean,roll168_mean,roll24_median,seasonal_mean,deseasonalized,is_night
2024-10-24 03:00:00,Phoenix,27.066666666666663,2024-10-24 00:00:00+00:00,3,3,10,False,27.066666666666663,26.045833333333334,22.57003968253968,25.833333333333336,26.432692307692307,0.6339743589743563,True
2024-10-24 04:00:00,Phoenix,27.066666666666663,2024-10-24 00:00:00+00:00,4,3,10,False,27.066666666666663,26.131944444444443,22.56547619047619,26.866666666666667,25.19326923076923,1.8733974358974343,True
2024-10-24 05:00:00,Phoenix,24.9,2024-10-24 00:00:00+00:00,5,3,10,False,24.9,26.212500000000002,22.55734126984127,26.866666666666667,24.169871794871792,0.7301282051282065,True
2024-10-24 06:00:00,Phoenix,23.166666666666668,2024-10-24 00:00:00+00:00,6,3,10,False,23.166666666666668,26.243055555555557,22.541071428571428,26.866666666666667,23.09871794871795,0.06794871794871682,False
2024-10-24 07:00:00,Phoenix,22.200000000000003,2024-10-24 00:00:00+00:00,7,3,10,False,22.200000000000003,26.283333333333335,22.522817460317462,26.866666666666667,22.340064102564103,-0.14006410256410007,False
2024-10-24 08:00:00,Phoenix,20.9,2024-10-24 00:00:00+00:00,8,3,10,False,20.9,26.295833333333334,22.502380952380953,26.866666666666667,21.50801282051282,-0.6080128205128226,False
2024-10-24 09:00:00,Phoenix,20.433333333333337,2024-10-24 00:00:00+00:00,9,3,10,False,20.433333333333337,26.30972222222222,22.484722222222224,26.866666666666667,20.728846153846156,-0.295512820512819,False
2024-10-24 10:00:00,Phoenix,19.8,2024-10-24 00:00:00+00:00,10,3,10,False,19.8,26.352777777777778,22.4656746031746,26.866666666666667,20.01794871794872,-0.21794871794871895,False
2024-10-24 11:00:00,Phoenix,18.833333333333332,2024-10-24 00:00:00+00:00,11,3,10,False,18.833333333333332,26.381944444444443,22.447420634920636,26.866666666666667,19.49775641025641,-0.6644230769230788,False
2024-10-24 12:00:00,Phoenix,17.933333333333334,2024-10-24 00:00:00+00:00,12,3,10,False,17.933333333333334,26.383333333333336,22.425396825396824,26.866666666666667,19.01794871794872,-1.084615384615386,False
2024-10-24 13:00:00,Phoenix,17.733333333333334,2024-10-24 00:00:00+00:00,13,3,10,False,17.733333333333334,26.412499999999998,22.40813492063492,26.866666666666667,19.11346153846154,-1.380128205128205,False
2024-10-24 14:00:00,Phoenix,18.8,2024-10-24 00:00:00+00:00,14,3,10,False,18.8,26.376388888888886,22.390079365079366,26.866666666666667,20.34423076923077,-1.5442307692307686,False
2024-10-24 15:00:00,Phoenix,22.333333333333332,2024-10-24 00:00:00+00:00,15,3,10,False,22.333333333333332,26.445833333333336,22.378373015873017,26.866666666666667,22.101282051282052,0.23205128205128034,False
2024-10-24 16:00:00,Phoenix,25.600000000000005,2024-10-24 00:00:00+00:00,16,3,10,False,25.600000000000005,26.40138888888889,22.384126984126986,26.333333333333336,24.267628205128208,1.332371794871797,False
2024-10-24 17:00:00,Phoenix,27.066666666666663,2024-10-24 00:00:00+00:00,17,3,10,False,27.066666666666663,26.341666666666665,22.387698412698416,26.333333333333336,25.91794871794872,1.1487179487179446,False
2024-10-24 18:00:00,Phoenix,29.066666666666663,2024-10-24 00:00:00+00:00,18,3,10,False,29.066666666666663,26.243055555555557,22.395833333333332,26.333333333333336,27.783333333333335,1.2833333333333279,False
2024-10-24 19:00:00,Phoenix,31.633333333333336,2024-10-24 00:00:00+00:00,19,3,10,False,31.633333333333336,26.20555555555556,22.412896825396825,26.333333333333336,29.08076923076923,2.552564102564105,False
2024-10-24 20:00:00,Phoenix,32.833333333333336,2024-10-24 00:00:00+00:00,20,3,10,False,32.833333333333336,26.190277777777776,22.432738095238097,26.333333333333336,30.008653846153848,2.8246794871794876,False
2024-10-24 21:00:00,Phoenix,33.9,2024-10-24 00:00:00+00:00,21,3,10,False,33.9,26.129166666666666,22.456944444444446,26.333333333333336,30.682692307692307,3.217307692307692,True
2024-10-24 22:00:00,Phoenix,34.300000000000004,2024-10-24 00:00:00+00:00,22,3,10,False,34.300000000000004,26.084722222222222,22.48035714285714,26.333333333333336,31.047435897435896,3.252564102564108,True
2024-10-24 23:00:00,Phoenix,34.300000000000004,2024-10-24 00:00:00+00:00,23,3,10,False,34.300000000000004,26.055555555555554,22.503769841269843,26.333333333333336,30.951923076923077,3.3480769230769276,True
2024-10-25 00:00:00,Phoenix,32.2,2024-10-25 00:00:00+00:00,0,4,10,False,32.2,25.938888888888886,22.521031746031746,26.333333333333336,30.182051282051283,2.0179487179487197,True
2024-10-25 01:00:00,Phoenix,30.066666666666663,2024-10-25 00:00:00+00:00,1,4,10,False,30.066666666666663,25.925,22.527579365079365,26.333333333333336,28.905128205128204,1.1615384615384592,True
2024-10-25 02:00:00,Phoenix,27.733333333333334,2024-10-25 00:00:00+00:00,2,4,10,False,27.733333333333334,25.82777777777778,22.526785714285715,26.333333333333336,27.23205128205128,0.5012820512820539,True
2024-10-25 03:00:00,Phoenix,26.633333333333336,2024-10-25 00:00:00+00:00,3,4,10,False,26.633333333333336,25.809722222222224,22.519841269841272,26.11666666666667,26.37179487179487,0.2615384615384677,True
2024-10-25 04:00:00,Phoenix,26.066666666666663,2024-10-25 00:00:00+00:00,4,4,10,False,26.066666666666663,25.76805555555556,22.51825396825397,25.833333333333336,25.25929487179487,0.8073717948717913,True
