timestamp,zone_id,temp_c,deseasonalized,hour,weekday
2024-06-16 01:00:00,Phoenix,42.53333333333334,13.892628205128212,1,6
2024-06-17 00:00:00,Phoenix,42.866666666666674,13.963522012578622,0,0
2024-06-17 02:00:00,Phoenix,40.63333333333333,13.848427672955975,2,0
2024-06-21 11:00:00,Phoenix,33.266666666666666,13.889102564102565,11,4
2024-06-21 12:00:00,Phoenix,33.06666666666667,14.173076923076927,12,4
2024-06-21 13:00:00,Phoenix,33.733333333333334,14.606089743589745,13,4
2024-06-21 14:00:00,Phoenix,36.26666666666667,15.957692307692316,14,4
2024-06-21 15:00:00,Phoenix,37.36666666666667,15.419871794871796,15,4
2024-06-21 17:00:00,Phoenix,40.03333333333333,13.937179487179485,17,4
2024-06-21 18:00:00,Phoenix,41.23333333333333,13.831410256410248,18,4
2024-06-21 19:00:00,Phoenix,42.70000000000001,13.92948717948719,19,4
2024-06-21 20:00:00,Phoenix,44.833333333333336,15.068269230769232,20,4
2024-06-21 21:00:00,Phoenix,44.666666666666664,14.258974358974356,21,4
2024-06-21 22:00:00,Phoenix,44.666666666666664,13.963461538461537,22,4
2024-06-21 23:00:00,Phoenix,45.03333333333333,14.34679487179487,23,4
2024-06-22 00:00:00,Phoenix,44.29999999999999,14.26410256410255,0,5
2024-06-22 01:00:00,Phoenix,43.6,14.794871794871796,1,5
2024-06-22 02:00:00,Phoenix,41.766666666666666,14.142948717948716,2,5
2024-06-24 05:00:00,Phoenix,37.2,13.866981132075473,5,0
2024-06-24 06:00:00,Phoenix,36.2,13.906289308176106,6,0
2024-06-24 07:00:00,Phoenix,35.56666666666666,14.076100628930813,7,0
2024-06-24 08:00:00,Phoenix,34.36666666666667,13.816037735849054,8,0
2024-06-24 09:00:00,Phoenix,34.199999999999996,14.419496855345908,9,0
2024-06-24 10:00:00,Phoenix,33.53333333333333,14.325786163522011,10,0
2024-06-24 11:00:00,Phoenix,33.266666666666666,14.54874213836478,11,0
2024-06-24 12:00:00,Phoenix,32.666666666666664,14.499371069182388,12,0
2024-06-24 13:00:00,Phoenix,33.03333333333334,14.633962264150949,13,0
2024-06-24 14:00:00,Phoenix,34.1,14.806918238993713,14,0
2024-06-24 15:00:00,Phoenix,35.199999999999996,13.979245283018862,15,0
2024-06-27 02:00:00,Phoenix,41.46666666666667,14.063141025641027,2,3
2024-06-27 05:00:00,Phoenix,38.2,14.03012820512821,5,3
2024-06-27 06:00:00,Phoenix,37.93333333333333,14.834615384615379,6,3
2024-06-27 07:00:00,Phoenix,36.5,14.159935897435897,7,3
2024-06-27 08:00:00,Phoenix,35.6,14.09198717948718,8,3
2024-06-27 09:00:00,Phoenix,34.800000000000004,14.071153846153848,9,3
2024-06-27 10:00:00,Phoenix,34.166666666666664,14.148717948717945,10,3
2024-06-27 11:00:00,Phoenix,33.699999999999996,14.202243589743585,11,3
2024-06-27 12:00:00,Phoenix,33.266666666666666,14.248717948717946,12,3
2024-06-27 13:00:00,Phoenix,33.43333333333333,14.31987179487179,13,3
2024-06-27 14:00:00,Phoenix,35.36666666666667,15.022435897435898,14,3
2024-06-27 15:00:00,Phoenix,36.23333333333333,14.132051282051275,15,3
2024-06-28 02:00:00,Phoenix,41.46666666666667,14.234615384615388,2,4
2024-06-28 05:00:00,Phoenix,38.0,13.924999999999997,5,4
2024-06-28 06:00:00,Phoenix,37.333333333333336,14.24038461538462,6,4
2024-06-28 07:00:00,Phoenix,36.23333333333333,13.940384615384609,7,4
2024-06-28 11:00:00,Phoenix,33.233333333333334,13.855769230769234,11,4
2024-06-28 12:00:00,Phoenix,33.06666666666667,14.173076923076927,12,4
2024-06-28 13:00:00,Phoenix,33.4,14.27275641025641,13,4
2024-06-28 14:00:00,Phoenix,35.333333333333336,15.024358974358979,14,4
2024-06-28 15:00:00,Phoenix,35.86666666666667,13.919871794871796,15,4
2024-06-30 04:00:00,Phoenix,39.8,14.634935897435895,4,6
2024-06-30 05:00:00,Phoenix,39.233333333333334,14.952243589743592,5,6
2024-06-30 06:00:00,Phoenix,37.733333333333334,14.505769230769232,6,6
2024-06-30 07:00:00,Phoenix,37.13333333333333,14.681730769230768,7,6
2024-06-30 08:00:00,Phoenix,36.5,15.010897435897434,8,6
2024-06-30 09:00:00,Phoenix,36.13333333333333,15.372756410256411,9,6
2024-06-30 10:00:00,Phoenix,34.23333333333333,14.25320512820512,10,6
2024-06-30 13:00:00,Phoenix,32.666666666666664,13.940705128205124,13,6
2024-07-01 02:00:00,Phoenix,40.9,14.11509433962264,2,0
2024-07-01 03:00:00,Phoenix,40.06666666666667,14.670754716981136,3,0
2024-07-02 13:00:00,Phoenix,33.233333333333334,14.49182389937107,13,1
2024-07-02 14:00:00,Phoenix,34.46666666666666,14.674213836477982,14,1
2024-07-02 15:00:00,Phoenix,36.06666666666666,14.414779874213835,15,1
2024-07-02 16:00:00,Phoenix,37.53333333333333,13.821069182389934,16,1
2024-07-03 01:00:00,Phoenix,43.53333333333334,14.51858974358975,1,2
2024-07-03 02:00:00,Phoenix,42.70000000000001,15.236538461538473,2,2
2024-07-03 03:00:00,Phoenix,41.96666666666667,15.38173076923077,3,2
2024-07-03 04:00:00,Phoenix,39.266666666666666,14.093910256410254,4,2
2024-07-03 05:00:00,Phoenix,38.766666666666666,14.65576923076923,5,2
2024-07-03 09:00:00,Phoenix,34.666666666666664,14.158653846153843,9,2
2024-07-03 11:00:00,Phoenix,32.96666666666666,13.781089743589739,11,2
2024-07-03 12:00:00,Phoenix,33.56666666666667,14.810897435897441,12,2
